,Unnamed: 0,text,x,y,PageHeight,PageWidth,isTop,isBottom,isRight,isLeft,invoice,invoice date,invoice dt,due date,date,dated,invoice x,invoice date x,invoice dt x,due date x,date x,dated x,invoice y,invoice date y,invoice dt y,due date y,date y,dated y,NX,NY,imageName,output
122,91,1-feb-23,0.8176684146833401,0.0707762557077625,3504,2479,0,0,0,0,1,1,1,0,1,1,0.6232351754739814,0.6232351754739814,0.6232351754739814,0.0,0.6421944332392093,0.6421944332392093,0.0465182648401826,0.0465182648401826,0.0465182648401826,0.0,0.0707762557077625,0.0707762557077625,3.154094392900363,0.281107305936073,38,1
123,31,20/10/2022,0.8378378378378378,0.1767388825541619,3508,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.6026623638563937,0.6026623638563937,0.0,0.0,0.0,0.0,0.1359749144811858,0.1359749144811858,1.2053247277127874,0.2719498289623717,39,0
124,32,19/10/2023,0.6434045986284792,0.1875712656784492,3508,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.6026623638563937,0.6026623638563937,0.0,0.0,0.0,0.0,0.1359749144811858,0.1359749144811858,1.2053247277127874,0.2719498289623717,39,0
125,33,from 20/10/2022 to midnight of ,0.9027833803953208,0.1795895096921322,3508,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.6026623638563937,0.6026623638563937,0.0,0.0,0.0,0.0,0.1359749144811858,0.1359749144811858,1.2053247277127874,0.2719498289623717,39,0
126,34,19/10/2023 ,0.6434045986284792,0.1875712656784492,3508,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.6026623638563937,0.6026623638563937,0.0,0.0,0.0,0.0,0.1359749144811858,0.1359749144811858,1.2053247277127874,0.2719498289623717,39,0
127,30,11/10/2022,0.6708350141185963,0.1319840364880273,3508,2479,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1
128,202,starter -09.01.23 ,0.200322450624748,0.3970923603192702,3508,2481,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0
129,199,-09.01.23,0.2051592099959693,0.3968072976054732,3508,2481,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0
130,201,‘lunch -09.01.23 ,0.1954856912535268,0.3765678449258837,3508,2481,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0
131,200,30-12-2022. ,0.8706166868198307,0.1687571265678449,3508,2481,0,0,0,0,1,1,1,0,1,1,0.5880693268843208,0.5880693268843208,0.5880693268843208,0.0,0.6392583635630794,0.6392583635630794,0.0966362599771949,0.0966362599771949,0.0966362599771949,0.0,0.1684720638540479,0.1684720638540479,3.0427247077791213,0.6268529076396807,40,1
